URLs,Texts,,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3342,(1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3488,"Ärzte für Soziale Verantwortung, PSR, Basel / Armin Vogt (1984)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3489,"Ärzte für Soziale Verantwortung, PSR, Basel / Armin Vogt (1984)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3491,Initiativkomitee der Atom- und Energieinitiative Zürich (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3492,Initiativkomitee der Atom- und Energieinitiative Zürich (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3493,Initiativkomitee der Atom- und Energieinitiative Zürich (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4616,AGEA Liestal (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4625,"Progressive Organisationen der Schweiz, POCH (1984)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4653,Nationale Koordination der AKW-gegner Organisationen (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4654,SAP Sozialistische Arbeiterpartei (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4717,"Parti Socialiste Geneve, Pierre Reymond (1984)
90x128 Collection suisse des affiches",,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4662,Comite Genevois pour un nouvelle politique de l’energie (1984),,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4738,Young & Rubicam Werbeagentur Bern (1984) 90x128 Collection suisse des affiches,,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=992,Regenburger gegen Kaiseraugst (1984) Nieder bis zum,,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=3490,"Gemeinde Kaiseraugst, Romano Hänni (1984) 90x128 emuseum.ch",,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1984&combined=on&suchwort=&view=grid&id=4634,Sozialdemokraten (1984),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3482,Internationale Koordinationskonferenz der Anti-Atomenergie-Bewegung (1979) 30x46 emuseum.ch,,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4056,1979 CRAS-Toulouse,,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=1882,"Atomschutzinitiative, Pierre Brauchli (1979)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3128,"Hugo Schuhmacher, Richard Kissling (1979) 90x127 Nieder bis zum",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3460,"Hans Gantert, Gewerkschaft Kultur Erziehung und Wissenschaft (1979)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3461,Peter Hürzeler (1979),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3462,"Rüdi Baumann, Gewerkschaft Kultur Erziehung und Wissenschaft (1979)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3463,Atomschutz-Initiative (1979),,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3464,"Atomschutz-Initiative, Giger (1979)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3465,"Produga-GKEW, Peter König (1979)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3466,"Produga-GKEW, Urs Banninger (1979)",,,,
https://www.laka.org/docu/affiches/?location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3467,"Produga, Jürg Stauffer (1979)",,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3468,"Produga-GKEW, Hugo Schuhmacher (1979) 90x128 emuseum.ch
",,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3599,RML (1979),,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4513,IISG,,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4633,Nationale Koordination der Schweizer Atomkraftwerkgegner (1979,,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4661,Initiative fédérale pour le contrôle démocratique du nucléaire (1979),,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4730,Nationale Koordination der Schweizer Atomkraftwerkgegner (1979) 89x125 Collection suisse des affiches,,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4856,,,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=2047,"Gewaltfreie Aktion, Bern / Bernard Schlup (1979)",,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=1361,Tanner + Staehelin Verlag / design Pierre Brauchli & Pieter Bruegel (1563) (1979),,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=1968,Young & Rubicam (1979),,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=2665,Edition William (1979),,,,
https://www.laka.org/docu/affiches/?page=2&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3469,(1979),,,,
https://www.laka.org/docu/affiches/?page=3&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3479,Coordination nationale des groupes anti-nucléaires / Martial Leiter (1979),,,,
https://www.laka.org/docu/affiches/?page=3&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3480,Zürcher Koordinationsgruppe Atomschutz / Born / Lutz / Münger (1979),,,,
https://www.laka.org/docu/affiches/?page=3&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3481,"Progressive Organisationen der Schweiz, POCH / Oliver Vischer (1979)",,,,
https://www.laka.org/docu/affiches/?page=3&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=3600,RML (1979),,,,
https://www.laka.org/docu/affiches/?page=3&location=Switzerland&term=1979&combined=on&suchwort=&view=grid&id=4731,Dachverband Ökologische Lebenssicherung und Zukunftsorientierte Umwelt (1979),,,,
